Name,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
C05_P2_OaC2_3_75000_2_50000_T2,C05_P2_OaC2_3_75000_2_50000_T2.D,Sample,,2/28/2026 2:17,1024127,1159,1127229,22,1610,309,909020,115
B06_P1_FM_0_00000_0_62500_T0,B06_P1_FM_0_00000_0_62500_T0.D,Sample,,3/1/2026 1:29,1021339,805,1135068,30,1490,265,971640,73
A08_P2_AtOaC2_3_75000_2_50000_T0,A08_P2_AtOaC2_3_75000_2_50000_T0.D,Sample,,2/27/2026 16:09,912734,562,1009738,,1484,304,818835,38
C01_P1_At_3_75000_0_00000_T2,C01_P1_At_3_75000_0_00000_T2.D,Sample,,2/28/2026 11:12,998546,2653,1090281,27,1416,316,908942,95
E07_P1_AtOa_3_75000_0_00000_T4,E07_P1_AtOa_3_75000_0_00000_T4.D,Sample,,2/26/2026 12:46,1035460,429,1172021,16,1354,62,910975,18
C06_P1_FM_0_00000_0_15625_T0,C06_P1_FM_0_00000_0_15625_T0.D,Sample,,2/28/2026 23:42,484693,59538,550322,46,1282,179,462164,48
E04_P1_Oa_3_75000_0_00000_T4,E04_P1_Oa_3_75000_0_00000_T4.D,Sample,,2/28/2026 15:23,91377,582,91121,161,1260,179,38824,43
G06_P2_FM_0_00000_0_00031_T0,G06_P2_FM_0_00000_0_00031_T0.D,Sample,,2/28/2026 6:25,748114,354,829451,,1194,257,628858,26
G01_P1_At_3_75000_0_00000_T6,G01_P1_At_3_75000_0_00000_T6.D,Sample,,2/28/2026 19:31,816208,757,870259,,1040,73,780682,
F07_P1_AtOa_3_75000_0_00000_T5,F07_P1_AtOa_3_75000_0_00000_T5.D,Sample,,2/27/2026 0:05,799955,330,892567,,1010,175,696292,65
A02_P1_At_0_00000_2_50000_T0,A02_P1_At_0_00000_2_50000_T0.D,Sample,,2/27/2026 17:22,825226,425,952849,15,880,69,719137,
