,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
C04_P2_Oa_3_75000_2_50000_T2,C04_P2_Oa_3_75000_2_50000_T2.D,Sample,,2/28/2026 10:01,888035.0,492,970786,299.0,47003,6808.0,816610,732.0
E08_P2_AtOaC2_3_75000_2_50000_T4,E08_P2_AtOaC2_3_75000_2_50000_T4.D,Sample,,2/28/2026 10:36,963417.0,502,1049191,24350.0,7257759,1163574.0,1030654,61087.0
C01_P1_At_3_75000_0_00000_T2,C01_P1_At_3_75000_0_00000_T2.D,Sample,,2/28/2026 11:12,998546.0,2653,1090281,27.0,1416,316.0,908942,95.0
G04_P2_Oa_3_75000_2_50000_T6,G04_P2_Oa_3_75000_2_50000_T6.D,Sample,,2/28/2026 11:47,122168.0,286,125663,23.0,328,60.0,61730,33.0
E01_P1_At_3_75000_0_00000_T4,E01_P1_At_3_75000_0_00000_T4.D,Sample,,2/28/2026 12:23,646281.0,398,704375,7.0,340,102.0,573391,55.0
D06_P1_FM_0_00000_0_03906_T0,D06_P1_FM_0_00000_0_03906_T0.D,Sample,,2/28/2026 12:58,997484.0,251,1095170,21537.0,6694719,1061926.0,1056628,52275.0
D05_P1_Oa_0_00000_2_50000_T3,D05_P1_Oa_0_00000_2_50000_T3.D,Sample,,2/28/2026 13:34,95019.0,408,94320,,560,21.0,46794,
E03_P1_FM_0_00732_0_00000_T0,E03_P1_FM_0_00732_0_00000_T0.D,Sample,,2/28/2026 14:09,1084129.0,451,1183395,28687.0,8551000,1417042.0,1165257,71686.0
F08_P2_AtOaC2_3_75000_2_50000_T5,F08_P2_AtOaC2_3_75000_2_50000_T5.D,Sample,,2/28/2026 14:47,1007263.0,603,1114086,101918.0,20575975,4340588.0,1077915,385217.0
E04_P1_Oa_3_75000_0_00000_T4,E04_P1_Oa_3_75000_0_00000_T4.D,Sample,,2/28/2026 15:23,91377.0,582,91121,161.0,1260,179.0,38824,43.0
H05_P1_Oa_0_00000_2_50000_T7,H05_P1_Oa_0_00000_2_50000_T7.D,Sample,,2/28/2026 15:58,984075.0,2195374,1192758,21.0,681,81.0,880564,28.0
