id,sample_name,fname,norvaline_area,succinate_area,norleucine_area,glucose1_area,glucose2_area,sorbitol_area,ribose_area,glucose_area,glucose_area_normalized,succinate_area_normalized,ribose_area_normalized
P1F04,F04_P1_Oa_3.75000_0.00000_T5,B01_P1_At_3_75000_0_00000_T1.D,481797,187,541289,621,118.0,428844,37.0,739.0,0.0017232373543759503,0.00038813027063265234,8.627846023262538e-05
P2C03,C03_P2_FM_0.23438_0.00000_T0,D02_P2_AtC2_3_75000_2_50000_T3.D,821280,84603,974734,318,14.0,712631,44.0,332.0,0.0004658792558841813,0.1030135885447107,6.174303391236137e-05
P1A01,A01_P1_At_3.75000_0.00000_T0,G02_P2_AtC2_3_75000_2_50000_T6.D,929868,371,1050181,13348765,2473297.0,914122,46533.0,15822062.0,17.308479612130547,0.0003989813607952957,0.050904583852046006
P1C05,C05_P1_Oa_0.00000_2.50000_T2,D07_P1_AtOa_3_75000_0_00000_T3.D,1018718,500,1149900,6616769,1056196.0,1031372,23289.0,7672965.0,7.439570785322852,0.0004908129629593273,0.022580601373704153
P2E01,E01_P2_At_3.75000_2.50000_T4,E05_P1_Oa_0_00000_2_50000_T4.D,878609,301,983087,5969217,943705.0,889859,19542.0,6912922.0,7.768558839096981,0.0003425869755488505,0.021960782550943463
P1G08,G08_P1_AtOa_0.00000_2.50000_T6,F04_P1_Oa_3_75000_0_00000_T5.D,927409,323,1021740,5995680,944419.0,935269,20625.0,6940099.0,7.420430913459122,0.00034828214951547807,0.022052479019405113
P2E03,E03_P2_FM_0.00732_0.00000_T0,C03_P2_FM_0_23438_0_00000_T0.D,756483,1606,840825,500,8.0,626773,13.0,508.0,0.0008105007714116594,0.002122982274552105,2.0741161473133015e-05
P2B01,B01_P2_At_3.75000_2.50000_T1,A01_P1_At_3_75000_0_00000_T0.D,906136,379,1010214,5809945,923492.0,899886,17290.0,6733437.0,7.4825444556310465,0.00041825951071362355,0.01921354482678917
P1D08,D08_P1_AtOa_0.00000_2.50000_T3,C05_P1_Oa_0_00000_2_50000_T2.D,504482,130,552586,4841187,742815.0,476001,16373.0,5584002.0,11.731071993546232,0.00025769006624616934,0.0343969865609526
P1H01,H01_P1_At_3.75000_0.00000_T7,E01_P2_At_3_75000_2_50000_T4.D,1015495,496,1138214,12269683,2204761.0,1050687,42199.0,14474444.0,13.77617120988458,0.0004884317500332351,0.04016324557170689
P2A01,A01_P2_At_3.75000_2.50000_T0,G08_P1_AtOa_0_00000_2_50000_T6.D,1066901,264,1199407,20666197,4359373.0,1092974,82428.0,25025570.0,22.896766071288063,0.0002474456392861193,0.07541624960886535
P2B04,B04_P2_Oa_3.75000_2.50000_T1,E03_P2_FM_0_00732_0_00000_T0.D,799184,1353661,1008843,5888418,933798.0,822956,18397.0,6822216.0,8.289891561638775,1.6938039300086087,0.02235477959939535
P1F05,F05_P1_Oa_0.00000_2.50000_T5,B01_P2_At_3_75000_2_50000_T1.D,1003940,1282,1124533,6977370,1126597.0,1039897,23706.0,8103967.0,7.793047773000596,0.0012769687431519812,0.02279648849838013
P1H08,H08_P1_AtOa_0.00000_2.50000_T7,D08_P1_AtOa_0_00000_2_50000_T3.D,908841,204,1011307,4725931,719151.0,954273,16017.0,5445082.0,5.706000274554556,0.00022446170452257325,0.01678450506301656
P1E02,E02_P1_At_0.00000_2.50000_T4,H01_P1_At_3_75000_0_00000_T7.D,973581,619,1071041,20042839,4122440.0,1019859,92474.0,24165279.0,23.69472544734125,0.0006357971242248975,0.09067331856658617
P1C03,C03_P1_FM_0.23438_0.00000_T0,A01_P2_At_3_75000_2_50000_T0.D,999531,99834,1176109,14708,2344.0,872738,171.0,17052.0,0.019538509839149894,0.09988084411589035,0.00019593509163116536
P2A08,A08_P2_AtOaC2_3.75000_2.50000_T0,B04_P2_Oa_3_75000_2_50000_T1.D,999573,2157097,1237921,6940654,1126446.0,1116501,22055.0,8067100.0,7.225340595306229,2.15801847388835,0.019753676888780217
P2E05,E05_P2_OaC2_3.75000_2.50000_T4,F05_P1_Oa_0_00000_2_50000_T5.D,859483,1826,958378,467,66.0,832655,35.0,533.0,0.0006401210585416529,0.0021245330041431885,4.203421585170329e-05
P1A02,A02_P1_At_0.00000_2.50000_T0,H08_P1_AtOa_0_00000_2_50000_T7.D,962891,798,1083192,7173756,1171061.0,1018646,23680.0,8344817.0,8.192067705562089,0.0008287542411342509,0.023246544923359046
P2F02,F02_P2_AtC2_3.75000_2.50000_T5,E02_P1_At_0_00000_2_50000_T4.D,1073119,448,1208381,668,67.0,939099,,735.0,0.0007826650864285874,0.0004174746696312338,
P1G04,G04_P1_Oa_3.75000_0.00000_T6,C03_P1_FM_0_23438_0_00000_T0.D,1012787,536,1133810,380,7.0,896992,,387.0,0.0004314419749562984,0.0005292327014466023,
P1B07,B07_P1_AtOa_3.75000_0.00000_T1,A08_P2_AtOaC2_3_75000_2_50000_T0.D,912734,562,1009738,1484,304.0,818835,,1788.0,0.002183590100569712,0.0006157325135252987,
P1H07,H07_P1_AtOa_3.75000_0.00000_T7,E05_P2_OaC2_3_75000_2_50000_T4.D,885017,421,1013041,316,,736864,25.0,316.0,0.00042884440005211275,0.0004756970770053005,3.392756329526208e-05
P1G07,G07_P1_AtOa_3.75000_0.00000_T6,A02_P1_At_0_00000_2_50000_T0.D,825226,425,952849,880,69.0,719137,15.0,949.0,0.0013196372874709548,0.0005150104335054882,2.085833436466209e-05
P2A06,A06_P2_FM_0.00000_2.50000_T0,F02_P2_AtC2_3_75000_2_50000_T5.D,740062,461,821034,5310886,826921.0,776098,16754.0,6137807.0,7.908546343374161,0.0006229207823128332,0.021587479931658115
P2C08,C08_P2_AtOaC2_3.75000_2.50000_T2,G04_P1_Oa_3_75000_0_00000_T6.D,1019182,174,1150345,398,62.0,999143,,460.0,0.00046039455813632284,0.00017072515016944962,
P2A03,A03_P2_FM_3.75000_0.00000_T0,B07_P1_AtOa_3_75000_0_00000_T1.D,869262,1567747,1056273,170,34.0,700296,8.0,204.0,0.0002913053908632921,1.8035379436809615,1.1423740818168317e-05
P2H01,H01_P2_At_3.75000_2.50000_T7,H07_P1_AtOa_3_75000_0_00000_T7.D,963954,1272,1075007,7242370,1178855.0,979241,22602.0,8421225.0,8.59974715110989,0.0013195650414853822,0.023081141414626225
P2B03,B03_P2_FM_0.93750_0.00000_T0,G07_P1_AtOa_3_75000_0_00000_T6.D,512978,193280,629497,401,18.0,402242,7.0,419.0,0.0010416614873633284,0.3767802907727037,1.7402459216093795e-05
P1D03,D03_P1_FM_0.05859_0.00000_T0,A06_P2_FM_0_00000_2_50000_T0.D,1052874,18852,1216301,219,11.0,936952,24.0,230.0,0.0002454768227187732,0.017905276414841662,2.5614972805437204e-05
P1E08,E08_P1_AtOa_0.00000_2.50000_T4,C08_P2_AtOaC2_3_75000_2_50000_T2.D,668953,325,731199,6396685,1014407.0,700163,20879.0,7411092.0,10.584809537207764,0.0004858338328701717,0.02982019901080177
P2D07,D07_P2_AtOa_3.75000_2.50000_T3,A03_P2_FM_3_75000_0_00000_T0.D,876453,378,991033,589,13.0,836131,17.0,602.0,0.0007199828734970956,0.000431283822406906,2.0331742274834926e-05
P2D03,D03_P2_FM_0.05859_0.00000_T0,H01_P2_At_3_75000_2_50000_T7.D,884704,12446,1020742,222,16.0,707520,62.0,238.0,0.000336386250565355,0.014067982059536297,8.763003165988241e-05
P2C05,C05_P2_OaC2_3.75000_2.50000_T2,B03_P2_FM_0_93750_0_00000_T0.D,938285,457,1058337,473263,57614.0,956345,2013.0,530877.0,0.5551103419790975,0.00048705883606793245,0.002104888926067476
P2H03,H03_P2_FM_0.00011_0.00000_T0,D03_P1_FM_0_05859_0_00000_T0.D,700766,276,761943,274,20.0,610176,,294.0,0.0004818281938325991,0.0003938547246869854,
P1G05,G05_P1_Oa_0.00000_2.50000_T6,E08_P1_AtOa_0_00000_2_50000_T4.D,1018423,374,1139656,7016511,1113241.0,1059032,22579.0,8129752.0,7.676587676293067,0.00036723443991347406,0.02132041335861428
P2H02,H02_P2_AtC2_3.75000_2.50000_T7,D07_P2_AtOa_3_75000_2_50000_T3.D,1001085,258,1122103,602,80.0,860541,29.0,682.0,0.0007925247024836702,0.0002577203733948666,3.3699730750771895e-05
P2F05,F05_P2_OaC2_3.75000_2.50000_T5,D03_P2_FM_0_05859_0_00000_T0.D,848175,5238,943698,4249467,640321.0,872415,12903.0,4889788.0,5.604887582171329,0.006175612344150676,0.014789979539553997
P1F03,F03_P1_FM_0.00183_0.00000_T0,C05_P2_OaC2_3_75000_2_50000_T2.D,1024127,1159,1127229,1610,309.0,909020,22.0,1919.0,0.0021110646630437173,0.001131695580723875,2.4201887747244284e-05
P2D04,D04_P2_Oa_3.75000_2.50000_T3,H03_P2_FM_0_00011_0_00000_T0.D,810550,935107,1000324,5016117,774185.0,863366,15575.0,5790302.0,6.7066597480095345,1.153669730429955,0.01803985795132076
P2G06,G06_P2_FM_0.00000_0.00031_T0,G05_P1_Oa_0_00000_2_50000_T6.D,841815,645,920513,864,152.0,777277,16.0,1016.0,0.0013071273175457399,0.0007662016001140393,2.0584682166074643e-05
P1F01,F01_P1_At_3.75000_0.00000_T5,H02_P2_AtC2_3_75000_2_50000_T7.D,760953,218,835796,10442519,1798285.0,760447,33719.0,12240804.0,16.096853561129176,0.000286482870821194,0.04434102573880888
P1D02,D02_P1_At_0.00000_2.50000_T3,F05_P2_OaC2_3_75000_2_50000_T5.D,1014295,793,1121847,20921472,4389786.0,1096285,93371.0,25311258.0,23.088209726485356,0.0007818238283734022,0.08517037084334822
P2G01,G01_P2_At_3.75000_2.50000_T6,F03_P1_FM_0_00183_0_00000_T0.D,898973,332,998944,6197750,981663.0,931982,18440.0,7179413.0,7.703381610374449,0.00036931031299049027,0.019785789854310492
P2A05,A05_P2_OaC2_3.75000_2.50000_T0,D04_P2_Oa_3_75000_2_50000_T3.D,861105,1844696,1070161,6535355,1039254.0,952115,20298.0,7574609.0,7.9555610404205375,2.142242815916758,0.02131885328978117
P2F06,F06_P2_FM_0.00000_0.00122_T0,G06_P2_FM_0_00000_0_00031_T0.D,748114,354,829451,1194,257.0,628858,,1451.0,0.002307357145810342,0.000473189914906017,
P2C04,C04_P2_Oa_3.75000_2.50000_T2,F01_P1_At_3_75000_0_00000_T5.D,890141,1517873,1130689,6732768,1075748.0,995543,18304.0,7808516.0,7.843474365245901,1.7052051304231577,0.018385946162044232
P2E08,E08_P2_AtOaC2_3.75000_2.50000_T4,D02_P1_At_0_00000_2_50000_T3.D,484693,400,550322,213,41.0,462164,38.0,254.0,0.000549588457776893,0.0008252646520581069,8.222189525796037e-05
P1C01,C01_P1_At_3.75000_0.00000_T2,G01_P2_At_3_75000_2_50000_T6.D,859387,579,944432,11267236,1971847.0,876842,37078.0,13239083.0,15.098595870179576,0.0006737360467402928,0.04228583941006475
P2G04,G04_P2_Oa_3.75000_2.50000_T6,A05_P2_OaC2_3_75000_2_50000_T0.D,935738,523,1000125,269565,32345.0,870664,1264.0,301910.0,0.3467583361664201,0.0005589171327871691,0.0014517655490522176
P1E01,E01_P1_At_3.75000_0.00000_T4,F06_P2_FM_0_00000_0_00122_T0.D,1063891,536,1166364,14108622,2600583.0,1104629,50590.0,16709205.0,15.126531170193793,0.0005038110107144435,0.04579818201405177
P1D06,D06_P1_FM_0.00000_0.03906_T0,C04_P2_Oa_3_75000_2_50000_T2.D,888035,492,970786,47003,6808.0,816610,299.0,53811.0,0.06589559275541568,0.0005540322171986464,0.00036614785515729664
P1D05,D05_P1_Oa_0.00000_2.50000_T3,E08_P2_AtOaC2_3_75000_2_50000_T4.D,963417,502,1049191,7257759,1163574.0,1030654,24350.0,8421333.0,8.170863354724283,0.0005210620115692374,0.023625775478482595
P1E03,E03_P1_FM_0.00732_0.00000_T0,C01_P1_At_3_75000_0_00000_T2.D,998546,2653,1090281,1416,316.0,908942,27.0,1732.0,0.0019055121228857288,0.002656863078916745,2.9704865656994616e-05
P2F08,F08_P2_AtOaC2_3.75000_2.50000_T5,G04_P2_Oa_3_75000_2_50000_T6.D,943854,286,1051685,328,60.0,835267,23.0,388.0,0.0004645221228661015,0.0003030129659883838,2.753610522144416e-05
P1E04,E04_P1_Oa_3.75000_0.00000_T4,E01_P1_At_3_75000_0_00000_T4.D,646281,398,704375,340,102.0,573391,7.0,442.0,0.0007708526991180539,0.0006158311941709566,1.2208074420421667e-05
P1H05,H05_P1_Oa_0.00000_2.50000_T7,D06_P1_FM_0_00000_0_03906_T0.D,997484,251,1095170,6694719,1061926.0,1056628,21537.0,7756645.0,7.340942129112611,0.0002516331089019974,0.020382764795178625
P2B08,B08_P2_AtOaC2_3.75000_2.50000_T1,D05_P1_Oa_0_00000_2_50000_T3.D,972152,408,1074750,560,21.0,960510,,581.0,0.0006048869871214251,0.00041968745628255663,
P1A05,A05_P1_Oa_0.00000_2.50000_T0,E03_P1_FM_0_00732_0_00000_T0.D,1084129,451,1183395,8551000,1417042.0,1165257,28687.0,9968042.0,8.554372125634087,0.0004160021547251296,0.024618603449711094
